resp	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11
0	0	0	0	0	0	-2	1	0	0	0
1	0	0	0	-2	0	0	0	1	0	0
0	0	-2	0	0	0	0	0	0	1	0
0	0	0	0	0	1	-2	0	1	0	0
0	0	1	0	0	-2	0	0	0	0	1
0	0	0	0	0	1	0	-2	0	0	1
0	0	0	0	0	1	0	0	-2	1	0
1	0	1	0	0	-2	1	0	0	0	0
0	0	0	1	0	-2	0	0	0	0	1
0	0	0	1	0	0	0	0	-2	1	0
1	1	0	0	-2	0	0	0	0	0	1
0	0	0	0	0	0	0	-2	0	1	0
1	1	0	-2	0	0	0	0	1	0	0
0	-2	0	0	1	0	0	0	0	0	0
0	0	0	0	0	-2	0	0	0	1	0
1	-2	0	0	0	0	1	0	0	0	0
0	0	0	0	1	-2	0	0	0	1	0
0	0	0	1	0	-2	0	1	0	0	0
0	0	1	0	-2	0	1	0	0	0	0
1	0	0	1	0	0	-2	0	0	1	0
0	0	0	0	0	0	1	0	-2	0	1
0	0	1	-2	1	0	0	0	0	0	0
1	0	0	0	1	0	0	-2	0	0	1
1	0	0	0	-2	0	0	0	0	1	0
1	0	0	-2	0	0	0	0	0	1	0
0	0	1	0	0	0	0	0	-2	1	0
1	0	0	0	-2	0	0	1	0	0	0
1	0	0	0	1	0	-2	0	0	0	1
1	0	0	0	0	0	1	0	0	-2	1
0	0	-2	0	1	0	0	0	0	0	0
0	1	0	-2	0	0	0	0	0	1	0
1	0	0	0	0	0	1	-2	0	1	0
1	1	0	-2	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	-2	1	0
1	-2	1	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	-2	0	1
1	0	1	0	-2	1	0	0	0	0	0
1	0	0	0	0	0	-2	0	1	0	0
0	1	0	0	0	-2	0	1	0	0	0
1	0	0	0	1	0	-2	0	0	1	0
1	1	0	0	0	0	0	0	0	-2	1
0	1	0	0	0	0	0	-2	1	0	0
1	0	0	0	1	0	0	0	0	-2	1
1	0	0	-2	0	0	0	1	0	0	0
0	0	-2	0	0	0	0	0	0	0	1
0	0	0	0	1	0	0	-2	1	0	0
1	0	0	1	0	0	-2	0	1	0	0
1	0	0	1	-2	1	0	0	0	0	0
0	0	1	-2	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	-2	1	0
0	0	0	0	1	0	0	0	-2	1	0
1	0	-2	0	0	0	0	1	0	0	0
0	0	0	0	1	-2	0	1	0	0	0
1	1	-2	0	0	0	1	0	0	0	0
1	0	1	-2	0	0	0	0	1	0	0
0	0	0	0	0	1	-2	0	0	1	0
1	-2	0	0	0	0	0	0	1	0	0
1	0	0	0	1	0	-2	1	0	0	0
1	0	1	0	-2	0	0	0	1	0	0
1	1	0	-2	0	1	0	0	0	0	0
0	0	0	0	0	0	1	-2	1	0	0
0	0	1	0	0	0	0	-2	0	0	1
1	0	0	-2	0	0	0	0	1	0	0
1	0	0	1	-2	0	0	1	0	0	0
1	1	0	0	-2	1	0	0	0	0	0
0	0	0	0	1	-2	0	0	0	0	1
0	0	0	0	0	1	0	-2	1	0	0
1	1	0	0	0	0	-2	0	1	0	0
1	0	0	0	0	0	-2	0	0	0	1
0	0	0	1	0	0	0	-2	0	1	0
0	0	1	-2	0	0	0	0	0	1	0
1	0	0	0	-2	0	1	0	0	0	0
1	0	0	0	0	1	-2	0	0	0	1
1	0	0	1	0	0	-2	0	0	0	1
0	1	0	0	0	0	-2	0	0	1	0
1	-2	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	-2	0	0	1	0
0	0	0	0	1	0	0	0	-2	0	1
0	0	0	1	0	-2	0	0	0	1	0
1	0	1	0	0	0	0	0	0	-2	1
1	0	1	0	-2	0	0	0	0	1	0
0	1	-2	0	1	0	0	0	0	0	0
1	1	0	0	-2	0	1	0	0	0	0
0	1	0	0	0	-2	0	0	0	0	1
1	0	0	1	0	0	0	0	0	-2	1
1	0	-2	0	0	0	0	0	1	0	0
0	0	1	0	0	-2	0	0	0	1	0
0	0	0	0	0	-2	0	0	1	0	0
1	0	0	0	0	0	0	1	-2	0	1
1	0	0	1	-2	0	0	0	1	0	0
1	0	1	0	-2	0	0	1	0	0	0
0	0	0	0	0	-2	1	0	0	0	0
0	0	1	0	0	-2	0	1	0	0	0
1	0	1	-2	0	0	0	1	0	0	0
1	1	-2	0	0	0	0	1	0	0	0
1	1	0	0	-2	0	0	0	0	1	0
1	-2	0	0	0	0	0	0	0	1	0
1	0	1	0	-2	0	0	0	0	0	1
0	-2	0	1	0	0	0	0	0	0	0
0	0	0	1	0	-2	0	0	1	0	0
1	0	0	1	0	0	-2	1	0	0	0
0	0	0	0	0	0	0	-2	1	0	0
0	0	1	0	0	-2	0	0	1	0	0
0	1	0	0	0	-2	1	0	0	0	0
1	0	1	0	0	0	-2	0	0	1	0
0	0	1	0	0	0	0	-2	0	1	0
1	1	0	0	-2	0	0	1	0	0	0
0	1	0	0	0	0	0	-2	0	1	0
1	0	0	0	0	0	0	0	0	-2	1
0	1	0	0	0	0	-2	1	0	0	0
0	0	0	1	0	-2	1	0	0	0	0
1	-2	0	0	0	0	0	0	0	0	1
0	0	0	0	1	-2	1	0	0	0	0
0	0	0	0	0	-2	0	0	0	0	1
1	1	-2	0	0	0	0	0	0	1	0
1	0	0	-2	1	0	0	0	0	0	0
0	0	1	0	0	0	0	0	-2	0	1
1	0	0	0	0	0	0	0	1	-2	1
1	0	0	0	-2	1	0	0	0	0	0
0	0	0	0	1	0	0	-2	0	1	0
1	0	1	0	0	0	-2	0	0	0	1
1	1	-2	0	0	0	0	0	0	0	1
1	0	1	-2	0	1	0	0	0	0	0
1	0	0	0	1	0	-2	0	1	0	0
0	0	0	1	-2	0	1	0	0	0	0
0	0	-2	0	0	0	1	0	0	0	0
0	1	0	0	0	0	0	0	-2	0	1
1	0	0	0	0	0	0	1	0	-2	1
0	0	1	0	0	0	0	-2	1	0	0
1	-2	0	0	0	0	0	1	0	0	0
1	1	0	0	0	0	-2	0	0	0	1
0	0	-2	1	0	0	0	0	0	0	0
1	1	0	0	-2	0	0	0	1	0	0
1	0	0	0	0	0	0	-2	0	0	1
1	1	0	-2	0	0	0	0	0	0	1
0	1	0	0	0	-2	0	0	1	0	0
0	0	0	0	0	0	1	0	-2	1	0
1	1	0	0	0	0	0	-2	0	0	1
0	0	0	0	1	-2	0	0	1	0	0
0	0	0	0	0	1	0	0	-2	0	1
1	0	0	0	0	0	1	-2	0	0	1
1	0	0	1	-2	0	0	0	0	0	1
1	0	1	0	0	0	-2	0	1	0	0
0	0	0	0	0	-2	0	1	0	0	0
1	0	0	1	0	0	0	-2	0	0	1
0	1	0	-2	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	-2	1
0	0	0	0	0	1	-2	1	0	0	0
1	0	0	0	-2	0	0	0	0	0	1
0	0	1	0	0	0	-2	1	0	0	0
0	0	0	0	0	1	0	-2	0	1	0
1	0	-2	0	0	1	0	0	0	0	0
0	1	-2	1	0	0	0	0	0	0	0
1	0	0	-2	0	1	0	0	0	0	0
1	1	0	-2	0	0	0	1	0	0	0
1	0	0	-2	0	0	1	0	0	0	0
1	0	0	-2	0	0	0	0	0	0	1
0	0	0	1	-2	0	0	0	0	1	0
1	0	1	-2	0	0	0	0	0	0	1
0	0	0	1	0	0	0	-2	1	0	0
1	0	0	0	0	0	0	1	-2	1	0
